uID,RN,Amount Removed (1/16),Reason,Axle Position,Side,WT Start Rim,ES Start Rim,Start Difference,WT Removed,Flange Condition Bool,CDSS,CDFIM,CDSWC
GoldenBC 2016-03-04 08:31:00 R,9352,0.2219464566929119,High Flange,1,R,0.8125,0.813,-0.0004999999999999449,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-03-04 08:31:00 R,9352,0.2219464566929119,High Flange,1,R,0.8125,0.813,-0.0004999999999999449,0.33964,TRUE,1132.60767,1023.7597,1005.79565
GoldenBC 2016-04-09 06:41:00 L,9783,0.02212913385826809,Slid Flat,1,L,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 L,9783,0.02212913385826809,Slid Flat,1,L,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 L,9783,0.02212913385826809,Slid Flat,1,L,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 L,9783,0.02212913385826809,Slid Flat,1,L,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 L,9783,0.02212913385826809,Slid Flat,1,L,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 L,9783,0.02212913385826809,Slid Flat,1,L,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 R,9783,0.02212913385826809,Slid Flat,1,R,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 R,9783,0.02212913385826809,Slid Flat,1,R,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 R,9783,0.02212913385826809,Slid Flat,1,R,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 R,9783,0.02212913385826809,Slid Flat,1,R,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 R,9783,0.02212913385826809,Slid Flat,1,R,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-09 06:41:00 R,9783,0.02212913385826809,Slid Flat,1,R,2.0,1.875,0.125,3.21013,FALSE,1191.22363,1073.85571,1060.37964
GoldenBC 2016-04-26 14:59:00 L,9837,-1.0336062992125985,Thin Flange,1,L,1.25,0.875,0.375,7.88415,TRUE,1142.29956,1037.37573,1012.93164
GoldenBC 2016-04-26 14:59:00 R,9837,-0.02560629921259938,Thin Flange,1,R,1.25,0.938,0.31200000000000006,7.88415,TRUE,1142.29956,1037.37573,1012.93164
GoldenBC 2016-04-26 16:39:00 L,9837,5.985077165354326,High Flange,3,L,1.5000000000000002,1.438,0.06200000000000028,11.07611,TRUE,1158.11157,1048.25562,1019.24774
GoldenBC 2016-04-26 16:39:00 L,9837,5.985077165354326,High Flange,3,L,1.5000000000000002,1.438,0.06200000000000028,11.07611,TRUE,1158.11157,1048.25562,1019.24774
GoldenBC 2016-04-26 16:39:00 R,9837,-2.014922834645674,High Flange,3,R,1.5000000000000002,0.938,0.5620000000000003,11.07611,TRUE,1158.11157,1048.25562,1019.24774
GoldenBC 2016-04-26 16:39:00 R,9837,-2.014922834645674,High Flange,3,R,1.5000000000000002,0.938,0.5620000000000003,11.07611,TRUE,1158.11157,1048.25562,1019.24774
GoldenBC 2016-04-26 18:39:00 L,9837,0.012705511811020642,High Flange,5,L,1.7500000000000002,1.5,0.2500000000000002,6.37017,TRUE,1179.45972,1074.53564,1041.35962
GoldenBC 2016-04-26 18:39:00 L,9837,0.012705511811020642,High Flange,5,L,1.7500000000000002,1.5,0.2500000000000002,6.37017,TRUE,1179.45972,1074.53564,1041.35962
GoldenBC 2016-04-26 18:39:00 R,9837,3.0207055118110198,High Flange,5,R,1.7500000000000002,1.688,0.06200000000000028,6.37017,TRUE,1179.45972,1074.53564,1041.35962
GoldenBC 2016-04-26 18:39:00 R,9837,3.0207055118110198,High Flange,5,R,1.7500000000000002,1.688,0.06200000000000028,6.37017,TRUE,1179.45972,1074.53564,1041.35962
GoldenBC 2016-05-27 08:37:00 L,8759,0.015955905511805923,High Flange,2,L,1.7500000000000002,1.688,0.06200000000000028,1.60013,TRUE,1199.50757,1075.37158,1050.89966
GoldenBC 2016-05-27 08:37:00 L,8759,0.015955905511805923,High Flange,2,L,1.7500000000000002,1.688,0.06200000000000028,1.60013,TRUE,1199.50757,1075.37158,1050.89966
GoldenBC 2016-05-27 08:37:00 R,8759,-0.9920440944881932,High Flange,2,R,1.7500000000000002,1.625,0.12500000000000022,1.60013,TRUE,1199.50757,1075.37158,1050.89966
GoldenBC 2016-05-27 08:37:00 R,8759,-0.9920440944881932,High Flange,2,R,1.7500000000000002,1.625,0.12500000000000022,1.60013,TRUE,1199.50757,1075.37158,1050.89966
GoldenBC 2016-05-28 07:56:00 L,8819,0.06318740157480107,High Flange,4,L,1.7500000000000002,1.313,0.4370000000000003,11.20011,TRUE,1172.99963,1074.01965,1031.69971
GoldenBC 2016-05-28 07:56:00 R,8819,6.063187401574801,High Flange,4,R,1.7500000000000002,1.688,0.06200000000000028,11.20011,TRUE,1172.99963,1074.01965,1031.69971
